reason	signal	company	role	location	url
body	min 6yr	Anthropic	Software Engineer, Full-stack	San Francisco, CA | New York City, NY | Seattle, WA	https://job-boards.greenhouse.io/anthropic/jobs/5174743008
dept	dept=Sales	Anthropic	Solutions Architect, Applied AI (Commercial)	San Francisco, CA | New York City, NY	https://job-boards.greenhouse.io/anthropic/jobs/5192805008
dept	dept=Sales	Anthropic	Solutions Architect, Applied AI (Startups)	San Francisco, CA | New York City, NY	https://job-boards.greenhouse.io/anthropic/jobs/5057258008
dept	dept=AI Strategy	Hebbia	Forward Deployed Banker (AI Strategist)	London, UK; New York City	https://job-boards.greenhouse.io/hebbia/jobs/4683103005
dept	dept=AI Strategy	Hebbia	Forward Deployed Investor (AI Strategist)	London, UK; New York City	https://job-boards.greenhouse.io/hebbia/jobs/4683104005
dept	dept=GTM	Hebbia	Solutions Engineer	New York City	https://job-boards.greenhouse.io/hebbia/jobs/4556367005
dept	dept=Sales	Cresta	Enterprise Solutions Engineer	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/4906900008
body	min 8yr	Cresta	Senior Machine Learning Engineer	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/4741283008
body	min 5yr	Cresta	Senior Machine Learning Engineer - Automatic Speech Recognition (ASR)	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/5155675008
body	min 5yr	Cresta	Senior Software Engineer, Backend (AI Agent)	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/5133464008
dept	dept=Customer Success	Cresta	Senior Solutions Architect	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/4964429008
dept	dept=Sales	Cresta	Strategic Solutions Engineer, East	United States (Remote)	https://job-boards.greenhouse.io/cresta/jobs/4985070008
dept	dept=Sales	Glean	Partner Solutions Architect	Remote - US	https://job-boards.greenhouse.io/gleanwork/jobs/4663045005
dept	dept=Customer Outcomes	Glean	Solutions Architect	Remote - US	https://job-boards.greenhouse.io/gleanwork/jobs/4508312005
dept	dept=Sales	Glean	Strategic Solutions Engineer, East	Remote - US	https://job-boards.greenhouse.io/gleanwork/jobs/4620264005
body	min 6yr	Figma	AI Applied Scientist	San Francisco, CA • New York, NY • United States	https://boards.greenhouse.io/figma/jobs/5707966004?gh_jid=5707966004
body	product-SWE-no-AI	Figma	Software Engineer, Full Stack	San Francisco, CA • New York, NY • United States	https://boards.greenhouse.io/figma/jobs/5691911004?gh_jid=5691911004
body	min 7yr	Brex	Senior Software Engineer, Full Stack	New York, New York, United States	https://www.brex.com/careers/8472634002?gh_jid=8472634002
body	min 5yr	Mercury	AI Solutions Architect	San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States	https://job-boards.greenhouse.io/mercury/jobs/5888354004
body	min 7yr	Mercury	Senior Data Scientist - Banking	San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States	https://job-boards.greenhouse.io/mercury/jobs/5799320004
body	product-SWE-no-AI	Mercury	Senior Full-Stack Engineer	San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States	https://job-boards.greenhouse.io/mercury/jobs/5493086004
body	min 7yr	Mercury	Senior Machine Learning Engineer	San Francisco, CA, New York, NY, Portland, OR, or Remote within Canada or United States	https://job-boards.greenhouse.io/mercury/jobs/5639559004
body	min 5yr	Vercel	Forward-Deployed Engineer	Hybrid - San Francisco, New York City, Austin	https://job-boards.greenhouse.io/vercel/jobs/5752684004
dept	dept=Partnerships	Vercel	Senior Partner Solutions Engineer	Hybrid - San Francisco, New York City, Austin	https://job-boards.greenhouse.io/vercel/jobs/5553789004
dept	dept=Field Engineering	Vercel	Solutions Architect	Hybrid - San Francisco, New York City, Austin	https://job-boards.greenhouse.io/vercel/jobs/5806749004
body	min 7yr	LangChain	Solutions Architect (NYC)	New York, NY	https://jobs.ashbyhq.com/langchain/f71210f9-12e1-4726-88b9-ebafa194d5b2
body	min 7yr	LangChain	Solutions Architect (Remote)	Remote-Utah	https://jobs.ashbyhq.com/langchain/0a5dd30c-6da1-4095-bd96-b16f27eeb333
body	min 5yr	Modal	Member of Technical Staff - ML Performance	New York	https://jobs.ashbyhq.com/modal/af17da5e-23ca-4802-854d-5f0546e1ed32
body	min 5yr	Fireworks AI	Solutions Architect	New York, NY; San Mateo, CA	https://job-boards.greenhouse.io/fireworksai/jobs/4059100009
loc	London, UK	Anthropic	Applied AI Architect (Public Sector)	London, UK	https://job-boards.greenhouse.io/anthropic/jobs/5194007008
loc	London, UK	Anthropic	Forward Deployed Engineer, Applied AI	London, UK	https://job-boards.greenhouse.io/anthropic/jobs/5012991008
title	Research Engineer, Machine Learning (RL Velocity)	Anthropic	Research Engineer, Machine Learning (RL Velocity)	Remote-Friendly (Travel-Required) | San Francisco, CA | New York City, NY	https://job-boards.greenhouse.io/anthropic/jobs/5198108008
title	Forward Deployed Product Manager	Glean	Forward Deployed Product Manager	New York, NY	https://job-boards.greenhouse.io/gleanwork/jobs/4659409005
loc	San Francisco	Perplexity	Member of Technical Staff (Software Engineer, Computer)	San Francisco	https://jobs.ashbyhq.com/perplexity/4c0ac8bb-55bf-4fb0-b7d7-36d69f55e6c8
loc	Toronto	Harvey	Staff Software Engineer, Full Stack	Toronto	https://jobs.ashbyhq.com/harvey/01f31ece-f3fe-4991-b6fb-b59f21faa8e9
loc	NAMER	Zapier	Sr. Applied AI Engineer	NAMER	https://jobs.ashbyhq.com/zapier/38434b88-086c-424b-8d18-8d006e0b71b8
loc	London, UK	Scale AI	Senior Full-Stack Software Engineer, (Forward Deployed), GPS	London, UK	https://job-boards.greenhouse.io/scaleai/jobs/4673310005
